planning_horizon,technology,parameter,value,unit,source,further description
all,H2 pipeline,investment,368.76203,EUR/MW/km,Welder et al https://doi.org/10.1016/j.energy.2018.05.059, old pypsa cost assumptions +30 percent (tagesspiegel background 03.04.2026)
all,H2 (g) pipeline,investment,394.78985,EUR/MW/km,European Hydrogen Backbone Report (June 2021): https://gasforclimate2050.eu/wp-content/uploads/2021/06/EHB_Analysing-the-future-demand-supply-and-transport-of-hydrogen_June-2021.pdf Table 35. Implementation roadmap - Cross border projects and costs updates: https://ehb.eu/files/downloads/EHB-2023-20-Nov-FINAL-design.pdf Table 1,"Assumption for a 48 inch single line pipeline, incl. compressor investments, 16.9 GW (LHV) peak capacity (source 2), 4.4 MEUR/km base cost with additional investment for compressors of capacity 434 MWe/1000 km (source 1), at 4 MEUR/MWe for compressor (source 2), +30 percent (tagesspiegel background 03.04.2026)"
all,biomass boiler,discount rate,0.07,per unit,default,
all,home battery inverter,discount rate,0.07,per unit,default,
all,home battery storage,discount rate,0.07,per unit,default,
all,decentral air-sourced heat pump,discount rate,0.07,per unit,default,
all,decentral gas boiler,discount rate,0.07,per unit,default,
all,decentral ground-sourced heat pump,discount rate,0.07,per unit,default,
all,decentral resistive heater,discount rate,0.07,per unit,default,
all,decentral solar thermal,discount rate,0.07,per unit,default,
all,decentral water tank storage,discount rate,0.07,per unit,default,
all,solar-rooftop,discount rate,0.07,per unit,default,
all,HVAC overhead,investment,772,EUR2020/MW/km,NEP2023,"Assuming High Temperature Low Sag Cables with higher Amperage"
all,offwind-ac-connection-submarine,investment,2488,EUR2020/MW/km,NEP2023,
all,offwind-ac-connection-underground,investment,2488,EUR2020/MW/km,NEP2023,
all,offwind-ac-station,investment,722,EUR2020/kW,NEP2023,"cost of two stations, landseitig and seeseitig"
all,HVDC inverter pair,investment,597015,EUR2020/MW,NEP2021+NEP2023
all,HVDC overhead,investment,995,EUR2020/MW/km,NEP2021+NEP2023
all,HVDC underground,investment,2978,EUR2020/MW/km,NEP2023,
all,HVDC submarine,investment,2978,EUR2020/MW/km,NEP2023,"set equal to HVDC underground"
all,offwind-dc-connection-submarine,investment,2708,EUR2020/MW/km,NEP2023,"DC 525kv seeseitig"
all,offwind-dc-connection-underground,investment,3430,EUR2020/MW/km,NEP2023,"DC 525kv landseitig"
all,offwind-dc-station,investment,903,EUR2020/kW,NEP2023,"cost of two stations, landseitig and seeseitig"
all,electricity distribution grid,investment,1500,EUR2020/kW,oriented towards JRC-EU-TIMES
all,biomass boiler,pelletizing cost,17.8,EUR/MWh_pellets,Assumption based on doi:10.1016/j.rser.2019.109506,Additional added transport costs of 8.8 EUR/MWh
all,offwind-dc-connection-submarine,FOM,0.35,%/year,Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025-table A.2,copied from HVDC submarine
all,offwind-dc-connection-underground,FOM,0.35,%/year,Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025-table A.2,copied from HVDC underground
all,offwind-ac-connection-submarine,FOM,0.35,%/year,Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025-table A.2,copied from HVDC submarine
all,offwind-ac-connection-underground,FOM,0.35,%/year,Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025-table A.2,copied from HVDC submarine
all,hydrogen storage underground,investment,0.55,EUR/kWh,Langfristszenarien Szenario 045-Strom
2020,Fischer-Tropsch,efficiency,0.653,per unit,1/hydrogen-input,should be fixed in technology-data
2025,Fischer-Tropsch,efficiency,0.678,per unit,1/hydrogen-input,should be fixed in technology-data
2030,Fischer-Tropsch,efficiency,0.704,per unit,1/hydrogen-input,should be fixed in technology-data
2035,Fischer-Tropsch,efficiency,0.718,per unit,1/hydrogen-input,should be fixed in technology-data
2040,Fischer-Tropsch,efficiency,0.734,per unit,1/hydrogen-input,should be fixed in technology-data
2045,Fischer-Tropsch,efficiency,0.743,per unit,1/hydrogen-input,should be fixed in technology-data
2050,Fischer-Tropsch,efficiency,0.754,per unit,1/hydrogen-input,should be fixed in technology-data
2020,onwind,investment,1374,EUR/kW,"https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/studie-stromgestehungskosten-erneuerbare-energien.html, Tabelle 1, Mittelpunkt der Preisspanne","CPI=1.2, DEA Vergleichswert für 2024 durch lineare Interpolation, Kostenreduktion nach DEA"
2025,onwind,investment,1323,EUR/kW,"https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/studie-stromgestehungskosten-erneuerbare-energien.html, Tabelle 1, Mittelpunkt der Preisspanne","CPI=1.2, DEA Vergleichswert für 2024 durch lineare Interpolation, Kostenreduktion nach DEA"
2030,onwind,investment,1272,EUR/kW,"https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/studie-stromgestehungskosten-erneuerbare-energien.html, Tabelle 1, Mittelpunkt der Preisspanne","CPI=1.2, DEA Vergleichswert für 2024 durch lineare Interpolation, Kostenreduktion nach DEA"
